Team,FTAG,FTHG,CANGOLCONTRA
Wolves,43,39,82
Blackburn,33,45,78
Bolton,39,38,77
QPR,25,41,66
Norwich,30,36,66
Wigan,27,35,62
Aston Villa,25,28,53
Stoke,20,33,53
West Brom,22,30,52
Swansea,18,33,51
Newcastle,17,34,51
Fulham,26,25,51
Arsenal,17,32,49
Sunderland,17,29,46
Chelsea,24,22,46
Tottenham,17,24,41
Liverpool,16,24,40
Everton,15,25,40
Man United,19,14,33
Man City,12,17,29
