Team,SCORE
Man United,106
Chelsea,104
Arsenal,102
Burnley,102
Tottenham,100
Portsmouth,100
Wigan,96
Liverpool,96
Bolton,96
Fulham,94
Sunderland,92
Blackburn,92
West Ham,92
Birmingham,92
Wolves,92
Hull,90
Aston Villa,88
Man City,88
Everton,88
Stoke,86
