Team,HST,FTHG,AST,FTAG,INDGOL
Man City,130,41,122,32,0.2896825396825397
Chelsea,230,68,158,35,0.2654639175257732
Arsenal,187,48,142,35,0.25227963525835867
Man United,195,52,149,34,0.25
Sunderland,119,32,97,16,0.2222222222222222
Aston Villa,121,29,118,23,0.2175732217573222
Liverpool,169,43,119,18,0.21180555555555555
Stoke,95,24,75,10,0.2
Everton,166,35,141,25,0.19543973941368079
Tottenham,202,40,146,27,0.1925287356321839
Hull,113,22,68,12,0.1878453038674033
Fulham,124,27,86,12,0.18571428571428572
Burnley,117,25,111,17,0.18421052631578946
West Ham,142,30,116,17,0.1821705426356589
Birmingham,109,19,111,19,0.17272727272727273
Blackburn,140,28,98,13,0.1722689075630252
Bolton,146,26,100,16,0.17073170731707318
Wolves,125,13,81,19,0.1553398058252427
Wigan,147,19,119,18,0.13909774436090225
Portsmouth,158,24,96,10,0.13385826771653545
