Team,SCORE
Wolves,100
Stoke,100
Liverpool,100
Chelsea,98
Man City,98
Blackpool,96
Bolton,94
Blackburn,94
Man United,92
Sunderland,92
West Brom,92
Arsenal,92
Aston Villa,90
West Ham,90
Newcastle,88
Tottenham,86
Everton,84
Birmingham,84
Wigan,84
Fulham,82
