Team,SCORE
Man City,104
Man United,104
Bolton,102
Arsenal,100
Blackburn,100
QPR,100
West Brom,98
Newcastle,98
Tottenham,96
Liverpool,94
Fulham,94
Chelsea,94
Wigan,94
Wolves,94
Norwich,92
Everton,92
Swansea,92
Stoke,90
Sunderland,90
Aston Villa,80
