Team,HST,FTHG,AST,FTAG,INDGOL
Man United,228,52,141,37,0.24119241192411925
Stoke,94,25,57,11,0.23841059602649006
Man City,215,55,184,38,0.23308270676691728
Newcastle,146,29,109,27,0.2196078431372549
Arsenal,185,39,167,35,0.21022727272727273
Norwich,140,28,114,24,0.2047244094488189
Blackburn,145,26,93,22,0.20168067226890757
Everton,145,28,108,22,0.1976284584980237
Chelsea,177,41,157,24,0.19461077844311378
Sunderland,126,26,107,19,0.19313304721030042
Swansea,126,27,115,17,0.1825726141078838
Aston Villa,108,20,95,17,0.18226600985221675
Tottenham,210,39,163,27,0.1769436997319035
Wolves,132,19,97,21,0.17467248908296942
West Brom,144,21,120,24,0.17045454545454544
Bolton,152,23,123,23,0.16727272727272727
QPR,133,24,131,19,0.16287878787878787
Wigan,147,22,111,20,0.16279069767441862
Fulham,192,36,109,12,0.15946843853820597
Liverpool,169,24,161,23,0.14242424242424243
