Team,INDGOL
Man United,0.25161290322580643
Blackburn,0.24083769633507854
Birmingham,0.23870967741935484
Blackpool,0.23404255319148937
Stoke,0.22549019607843138
Wolves,0.2222222222222222
Newcastle,0.2222222222222222
Liverpool,0.22014925373134328
Man City,0.21739130434782608
Arsenal,0.21052631578947367
Chelsea,0.2005813953488372
Aston Villa,0.1991701244813278
Fulham,0.196
Sunderland,0.1956521739130435
West Brom,0.1951219512195122
Bolton,0.1890909090909091
Everton,0.17832167832167833
West Ham,0.17479674796747968
Tottenham,0.17133956386292834
Wigan,0.15810276679841898
