Team,CANGOLCONTRA
Fulham,81
Huddersfield,76
Bournemouth,70
Cardiff,69
Burnley,68
Southampton,65
Brighton,60
Watford,59
West Ham,55
Man United,54
Crystal Palace,53
Arsenal,51
Newcastle,48
Leicester,48
Everton,46
Wolves,46
Tottenham,39
Chelsea,39
Man City,23
Liverpool,22
