Team,CANGOLCONTRA
Fulham,85
Cardiff,74
Norwich,62
Aston Villa,61
Sunderland,60
West Brom,59
Newcastle,59
Swansea,54
Hull,53
Stoke,52
West Ham,51
Tottenham,51
Liverpool,50
Crystal Palace,48
Southampton,46
Man United,43
Arsenal,41
Everton,39
Man City,37
Chelsea,27
