Team,INDGOL
Man City,0.2896825396825397
Chelsea,0.2654639175257732
Arsenal,0.25227963525835867
Man United,0.25
Sunderland,0.2222222222222222
Aston Villa,0.2175732217573222
Liverpool,0.21180555555555555
Stoke,0.2
Everton,0.19543973941368079
Tottenham,0.1925287356321839
Hull,0.1878453038674033
Fulham,0.18571428571428572
Burnley,0.18421052631578946
West Ham,0.1821705426356589
Birmingham,0.17272727272727273
Blackburn,0.1722689075630252
Bolton,0.17073170731707318
Wolves,0.1553398058252427
Wigan,0.13909774436090225
Portsmouth,0.13385826771653545
