Team,CANGOLCONTRA
Wigan,73
Reading,73
Aston Villa,69
Newcastle,68
Southampton,60
QPR,60
Fulham,60
Norwich,58
West Brom,57
Sunderland,54
West Ham,53
Swansea,51
Tottenham,46
Stoke,45
Man United,43
Liverpool,43
Everton,40
Chelsea,39
Arsenal,37
Man City,34
