Team,CANGOLCONTRA
QPR,73
Newcastle,63
Aston Villa,57
Leicester,55
Burnley,53
Tottenham,53
Sunderland,53
West Brom,51
Crystal Palace,51
Hull,51
Everton,50
Swansea,49
Liverpool,48
West Ham,47
Stoke,45
Man City,38
Man United,37
Arsenal,36
Southampton,33
Chelsea,32
