EQUIPO,INDGOL,TEMPORADA
Arsenal,0.4294117647058823,1819
Man City,0.4061302681992337,1718
Chelsea,0.4166666666666667,1617
Leicester,0.3756906077348066,1516
Man City,0.36403508771929827,1415
Man City,0.42857142857142855,1314
Man United,0.28762541806020064,1213
Man United,0.24119241192411925,1112
Man United,0.25161290322580643,1011
Man City,0.2896825396825397,0910
