Team,INDGOL
Man United,0.28762541806020064
Reading,0.24022346368715083
Chelsea,0.22321428571428573
Arsenal,0.22085889570552147
West Brom,0.20948616600790515
Aston Villa,0.2088888888888889
Stoke,0.20606060606060606
Fulham,0.20491803278688525
Norwich,0.2019704433497537
Southampton,0.19291338582677164
Man City,0.1875
Sunderland,0.18552036199095023
Liverpool,0.18441558441558442
Wigan,0.1828793774319066
West Ham,0.18
Swansea,0.17938931297709923
Newcastle,0.17857142857142858
Tottenham,0.1732283464566929
Everton,0.17133956386292834
QPR,0.12244897959183673
