EQUIPO,CANGOLCONTRA,TEMPORADA
Fulham,81,1819
West Ham,68,1718
Hull,80,1617
Aston Villa,76,1516
QPR,73,1415
Fulham,85,1314
Wigan,73,1213
Wolves,82,1112
Blackpool,78,1011
Burnley,82,0910
