Team,CANGOLCONTRA
Hull,80
Swansea,70
Sunderland,69
Watford,68
Bournemouth,67
West Ham,64
Crystal Palace,63
Leicester,63
Stoke,56
Burnley,55
Middlesbrough,53
West Brom,51
Southampton,48
Arsenal,44
Everton,44
Liverpool,42
Man City,39
Chelsea,33
Man United,29
Tottenham,26
