Team,INDGOL
Man City,0.36403508771929827
Stoke,0.35294117647058826
Chelsea,0.3476190476190476
Man United,0.3463687150837989
Crystal Palace,0.3381294964028777
Tottenham,0.3372093023255814
Leicester,0.3357664233576642
Southampton,0.3176470588235294
Swansea,0.3129251700680272
Arsenal,0.31140350877192985
West Brom,0.2923076923076923
West Ham,0.2894736842105263
Everton,0.2891566265060241
Newcastle,0.27972027972027974
QPR,0.2781456953642384
Liverpool,0.26804123711340205
Hull,0.25190839694656486
Aston Villa,0.2440944881889764
Sunderland,0.24031007751937986
Burnley,0.224
