Team,INDGOL
Man United,0.24119241192411925
Stoke,0.23841059602649006
Man City,0.23308270676691728
Newcastle,0.2196078431372549
Arsenal,0.21022727272727273
Norwich,0.2047244094488189
Blackburn,0.20168067226890757
Everton,0.1976284584980237
Chelsea,0.19461077844311378
Sunderland,0.19313304721030042
Swansea,0.1825726141078838
Aston Villa,0.18226600985221675
Tottenham,0.1769436997319035
Wolves,0.17467248908296942
West Brom,0.17045454545454544
Bolton,0.16727272727272727
QPR,0.16287878787878787
Wigan,0.16279069767441862
Fulham,0.15946843853820597
Liverpool,0.14242424242424243
