Team,CANGOLCONTRA
Wolves,82
Blackburn,78
Bolton,77
QPR,66
Norwich,66
Wigan,62
Aston Villa,53
Stoke,53
West Brom,52
Swansea,51
Newcastle,51
Fulham,51
Arsenal,49
Sunderland,46
Chelsea,46
Tottenham,41
Liverpool,40
Everton,40
Man United,33
Man City,29
