Team,CANGOLCONTRA
Aston Villa,76
Bournemouth,67
Norwich,67
Newcastle,65
Sunderland,62
Everton,55
Stoke,55
Chelsea,53
Swansea,52
West Ham,51
Crystal Palace,51
Liverpool,50
Watford,50
West Brom,48
Man City,41
Southampton,41
Leicester,36
Arsenal,36
Man United,35
Tottenham,35
