Team,INDGOL
Leicester,0.3756906077348066
West Ham,0.3532608695652174
Southampton,0.34911242603550297
Man United,0.34265734265734266
Chelsea,0.34104046242774566
Man City,0.3380952380952381
Everton,0.33714285714285713
Sunderland,0.3356643356643357
West Brom,0.32075471698113206
Stoke,0.3153846153846154
Bournemouth,0.3125
Liverpool,0.3103448275862069
Arsenal,0.30952380952380953
Norwich,0.30952380952380953
Swansea,0.3088235294117647
Watford,0.29411764705882354
Newcastle,0.2894736842105263
Tottenham,0.276
Crystal Palace,0.2565789473684211
Aston Villa,0.24324324324324326
