Team,INDGOL
Man City,0.42857142857142855
Liverpool,0.38996138996138996
Man United,0.35359116022099446
West Ham,0.33613445378151263
Swansea,0.3312883435582822
Arsenal,0.3238095238095238
Stoke,0.3237410071942446
Everton,0.3128205128205128
Chelsea,0.31140350877192985
Southampton,0.3050847457627119
Sunderland,0.29927007299270075
West Brom,0.296551724137931
Hull,0.29457364341085274
Aston Villa,0.291044776119403
Tottenham,0.291005291005291
Fulham,0.2684563758389262
Cardiff,0.25396825396825395
Newcastle,0.23369565217391305
Crystal Palace,0.23076923076923078
Norwich,0.1917808219178082
