Team,INDGOL
Arsenal,0.4294117647058823
Liverpool,0.3938053097345133
Burnley,0.391304347826087
Man City,0.36538461538461536
Tottenham,0.3544973544973545
Crystal Palace,0.3493150684931507
Watford,0.3443708609271523
Bournemouth,0.34355828220858897
West Ham,0.33121019108280253
Brighton,0.32407407407407407
Everton,0.31952662721893493
Chelsea,0.3181818181818182
Wolves,0.31125827814569534
Newcastle,0.29577464788732394
Man United,0.28888888888888886
Southampton,0.2777777777777778
Leicester,0.27717391304347827
Cardiff,0.2698412698412698
Fulham,0.22818791946308725
Huddersfield,0.1864406779661017
