,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH
51,4,17,0,19,15,3,Liverpool,1.53,4.0,6.5,1.57,3.75,6.0,1.45,3.95,6.25,39,22,0.0,1.87,1.88,1.54,1.17,4.57,3.8,6.32,1.95,2.01,1.59,1.2,5.05,4.16,6.76,32,2009-09-19,E0,3,2,A,1.5,4.0,6.0,4,13,0,8,5,2,2,D,3,West Ham,1.55,3.7,6.0,1.57,3.75,6.0,A Marriner,1.5,3.75,6.0,1.53,4.0,6.5,1.53,3.6,6.5,1.53,3.8,6.5
52,3,9,0,9,4,2,Tottenham,7.0,4.0,1.5,7.0,3.8,1.5,7.0,4.05,1.4,39,21,-1.0,1.94,1.82,7.04,2.0,1.86,3.93,1.49,2.02,1.93,8.16,2.06,1.93,4.31,1.53,31,2009-09-20,E0,0,3,H,7.0,3.75,1.5,11,7,0,25,15,0,1,H,0,Chelsea,6.0,3.7,1.55,7.0,4.0,1.5,H Webb,6.5,3.9,1.45,6.5,4.0,1.53,6.5,3.6,1.5,7.5,4.2,1.44
53,2,18,0,7,4,2,Blackburn,5.0,3.3,1.8,4.5,3.3,1.83,5.0,3.4,1.65,39,21,0.0,1.78,1.97,4.75,3.26,1.3,3.4,1.77,1.92,2.1,5.37,3.59,1.35,3.5,1.84,31,2009-09-20,E0,0,3,H,5.0,3.3,1.75,6,15,0,18,11,0,1,H,1,Everton,4.6,3.5,1.75,4.5,3.5,1.8,L Mason,4.5,3.4,1.7,4.5,3.5,1.8,4.33,3.25,1.83,4.6,3.4,1.8
54,1,14,0,10,6,2,Man City,6.0,4.0,1.57,6.0,3.75,1.57,5.1,3.55,1.6,38,21,0.0,1.93,1.82,5.59,4.09,1.2,3.82,1.59,2.04,1.93,6.55,4.55,1.22,4.3,1.62,31,2009-09-20,E0,3,4,H,5.5,3.75,1.6,11,15,0,21,11,1,1,D,2,Man United,5.6,3.6,1.6,5.5,3.75,1.62,M Atkinson,5.25,3.6,1.57,5.5,3.75,1.62,5.5,3.6,1.6,5.5,3.75,1.62
55,3,11,0,3,1,1,Fulham,2.88,3.25,2.5,2.75,3.2,2.5,2.75,3.1,2.4,39,21,0.0,1.62,2.2,2.79,1.99,1.8,3.21,2.51,1.67,2.33,2.96,2.08,1.92,3.45,2.7,31,2009-09-20,E0,1,2,H,2.75,3.2,2.5,3,14,0,12,4,0,1,H,1,Wolves,2.85,3.2,2.4,2.62,3.3,2.6,K Friend,2.6,3.2,2.5,2.8,3.25,2.5,2.7,3.2,2.5,2.88,3.2,2.5
56,4,17,0,10,4,1,Bolton,3.4,3.25,2.2,3.4,3.1,2.2,3.15,3.15,2.15,38,25,0.0,1.59,2.26,3.28,2.32,1.57,3.23,2.2,1.64,2.51,3.5,2.5,1.64,3.45,2.32,32,2009-09-26,E0,2,1,A,3.2,3.2,2.2,8,9,0,12,6,1,0,A,2,Birmingham,3.4,3.25,2.1,3.25,3.25,2.25,S Bennett,3.0,3.2,2.2,3.3,3.25,2.2,3.2,3.2,2.1,3.25,3.3,2.2
57,5,11,0,10,5,3,Aston Villa,2.38,3.25,3.1,2.38,3.2,3.0,2.2,3.2,3.0,38,25,0.0,1.76,2.0,2.34,1.68,2.11,3.25,3.0,1.85,2.13,2.45,1.74,2.26,3.5,3.24,32,2009-09-26,E0,1,2,H,2.3,3.2,3.0,6,14,1,15,7,1,1,D,2,Blackburn,2.4,3.2,2.85,2.3,3.25,3.1,M Clattenburg,2.3,3.2,2.8,2.38,3.25,3.0,2.2,3.25,2.9,2.25,3.3,3.1
58,6,11,0,14,4,0,Arsenal,1.53,4.0,6.5,1.57,3.6,6.5,1.5,3.85,5.65,38,24,0.0,1.93,1.82,1.55,1.18,4.49,3.74,6.32,2.1,1.89,1.6,1.21,5.15,4.07,7.27,32,2009-09-26,E0,1,0,A,1.55,3.75,6.0,4,14,0,18,12,0,0,D,4,Fulham,1.55,3.7,6.0,1.57,3.6,6.5,M Atkinson,1.55,3.6,5.5,1.57,3.8,6.0,1.57,3.6,5.5,1.5,3.75,7.5
59,2,3,0,7,3,4,Hull,23.0,7.5,1.14,21.0,6.5,1.17,13.5,6.25,1.15,37,22,0.0,2.48,1.5,18.44,14.54,1.01,7.0,1.15,2.67,1.53,29.0,21.58,1.02,8.2,1.17,32,2009-09-26,E0,1,6,H,19.0,6.5,1.15,13,10,0,22,14,1,2,H,1,Liverpool,15.0,6.5,1.15,17.0,7.5,1.14,P Walton,17.0,6.5,1.12,19.0,7.5,1.14,17.0,6.5,1.12,19.0,7.0,1.14
60,6,17,0,12,8,3,Everton,1.91,3.4,4.2,1.95,3.4,3.9,1.95,3.3,3.5,38,24,0.0,1.76,2.0,1.92,1.41,2.74,3.38,3.95,1.83,2.16,2.0,1.46,3.11,3.64,4.33,32,2009-09-26,E0,1,0,A,1.9,3.3,4.0,5,14,0,16,12,1,0,A,0,Portsmouth,1.9,3.3,3.9,1.83,3.5,4.33,A Wiley,1.91,3.3,3.6,1.95,3.3,4.0,1.91,3.25,3.75,1.95,3.3,4.0
61,7,8,0,13,7,1,Man United,1.4,4.5,8.5,1.4,4.33,8.5,1.3,4.5,8.75,38,23,0.0,1.89,1.86,1.37,1.1,6.54,4.39,8.63,1.98,1.96,1.42,1.11,7.58,4.81,10.0,32,2009-09-26,E0,2,0,A,1.4,4.0,8.5,2,9,0,2,1,0,0,D,1,Stoke,1.4,4.3,7.5,1.33,4.5,10.0,H Webb,1.35,4.2,8.0,1.36,4.5,9.0,1.4,4.0,7.5,1.36,4.5,9.0
62,7,14,0,10,7,1,Burnley,10.0,5.0,1.33,10.0,4.75,1.33,7.25,4.5,1.35,38,23,0.0,2.23,1.61,9.36,7.35,1.08,4.8,1.33,2.41,1.65,11.75,8.0,1.1,5.51,1.36,32,2009-09-26,E0,0,5,H,9.5,4.5,1.33,2,10,0,18,12,0,2,H,1,Tottenham,8.5,4.5,1.35,10.0,5.0,1.3,M Dean,8.0,4.5,1.33,9.0,5.0,1.33,9.5,4.5,1.3,9.0,4.8,1.33
63,7,11,1,14,8,2,Chelsea,1.33,5.0,10.0,1.33,4.5,11.0,1.3,4.6,8.5,38,23,0.0,1.9,1.85,1.31,1.07,7.72,4.76,10.26,2.01,1.93,1.35,1.08,9.19,5.43,13.0,32,2009-09-26,E0,1,3,H,1.33,4.5,9.5,4,11,0,15,9,0,1,H,1,Wigan,1.35,4.5,8.5,1.29,5.0,11.0,P Dowd,1.28,4.5,10.0,1.3,5.0,11.0,1.3,4.5,9.5,1.3,5.0,10.0
64,8,11,0,15,11,3,Wolves,5.0,3.6,1.73,5.0,3.5,1.73,4.6,3.35,1.7,38,23,0.0,1.82,1.93,4.95,3.59,1.26,3.5,1.72,1.91,2.05,5.45,3.85,1.29,3.91,1.76,31,2009-09-27,E0,2,5,H,4.75,3.5,1.73,7,18,0,10,8,0,1,H,1,Sunderland,4.6,3.5,1.75,5.0,3.5,1.73,L Mason,4.5,3.4,1.7,5.0,3.5,1.73,5.0,3.4,1.67,5.0,3.6,1.7
65,5,14,0,12,8,1,West Ham,7.5,4.33,1.44,8.5,3.9,1.44,7.25,4.0,1.4,36,22,0.0,2.09,1.68,7.73,5.64,1.12,4.18,1.42,2.2,1.77,8.5,6.5,1.14,4.62,1.47,30,2009-09-28,E0,1,3,H,7.0,4.0,1.45,11,18,0,20,12,1,2,H,1,Man City,7.0,4.0,1.45,8.0,4.5,1.4,C Foy,7.0,4.2,1.4,8.0,4.5,1.4,7.5,4.0,1.4,8.0,4.33,1.4
66,6,16,0,17,9,1,Tottenham,1.95,3.6,3.8,1.95,3.3,4.0,1.8,3.5,3.8,33,19,0.0,2.01,1.73,1.93,1.39,2.77,3.44,3.88,2.14,1.78,2.04,1.43,2.88,3.68,4.2,25,2009-10-03,E0,2,2,D,1.95,3.4,3.7,5,15,0,12,9,1,1,D,2,Bolton,2.0,3.3,3.6,1.91,3.4,4.0,M Jones,1.91,3.3,3.6,1.91,3.5,4.0,1.91,3.4,3.75,1.91,3.4,4.0
67,4,11,0,10,6,3,Birmingham,3.2,3.25,2.3,3.3,3.2,2.25,3.0,3.2,2.2,32,19,0.0,1.65,2.12,3.19,2.22,1.6,3.24,2.26,1.69,2.27,3.5,2.45,1.65,3.35,2.34,24,2009-10-03,E0,1,2,H,3.1,3.25,2.25,8,17,0,15,13,0,0,D,0,Burnley,2.9,3.3,2.3,3.3,3.3,2.2,K Friend,2.9,3.2,2.25,3.2,3.25,2.25,3.2,3.2,2.2,3.0,3.2,2.1
68,2,8,0,13,5,2,Wigan,2.5,3.3,2.88,2.5,3.2,2.75,2.45,3.25,2.6,33,20,0.0,1.76,1.97,2.49,1.79,1.96,3.27,2.79,1.82,2.1,2.57,1.86,2.11,3.45,3.0,25,2009-10-03,E0,1,2,H,2.5,3.25,2.7,4,14,0,11,6,0,0,D,0,Hull,2.6,3.2,2.6,2.4,3.3,2.88,M Clattenburg,2.5,3.2,2.6,2.5,3.3,2.75,2.4,3.3,2.75,2.3,3.2,2.62
69,1,15,1,4,3,3,Sunderland,15.0,6.5,1.2,13.0,6.0,1.2,11.0,6.0,1.18,32,17,0.0,2.38,1.52,14.34,10.78,1.02,6.18,1.2,2.63,1.57,17.0,12.0,1.04,7.0,1.21,25,2009-10-03,E0,2,2,D,13.0,6.0,1.2,14,11,0,17,9,1,0,A,2,Man United,15.0,6.0,1.17,13.0,6.5,1.2,A Wiley,12.0,6.0,1.18,15.0,6.5,1.18,11.0,6.0,1.2,12.0,5.5,1.17
70,6,12,0,12,8,2,Portsmouth,3.8,3.4,2.0,3.25,3.2,2.1,3.4,3.4,1.95,32,18,0.0,1.66,2.12,3.52,2.46,1.49,3.33,2.07,1.71,2.25,4.0,2.69,1.53,3.46,2.15,25,2009-10-03,E0,1,0,A,3.4,3.25,2.1,8,8,0,11,5,1,0,A,1,Wolves,3.1,3.3,2.2,3.75,3.4,2.0,H Webb,3.2,3.2,2.1,3.4,3.4,2.1,3.25,3.25,2.1,3.4,3.25,1.91
71,1,10,0,7,7,1,Blackburn,15.0,6.5,1.2,13.0,5.5,1.22,11.0,6.05,1.18,33,18,0.0,2.39,1.52,13.2,10.2,1.03,5.88,1.22,2.5,1.58,16.8,12.0,1.05,6.9,1.25,25,2009-10-04,E0,2,6,H,11.0,6.0,1.22,8,9,0,24,18,2,3,H,1,Arsenal,14.0,5.5,1.2,13.0,6.5,1.2,P Walton,10.0,5.5,1.22,13.0,6.0,1.22,11.0,6.0,1.2,11.0,5.0,1.2
72,8,17,0,12,3,1,Liverpool,3.6,3.3,2.1,3.5,3.2,2.1,3.25,3.25,2.05,32,19,0.0,1.72,2.01,3.51,2.43,1.51,3.25,2.11,1.77,2.15,3.89,2.67,1.57,3.44,2.2,25,2009-10-04,E0,0,2,H,3.3,3.25,2.15,5,14,0,12,8,0,0,D,1,Chelsea,3.45,3.2,2.1,3.6,3.2,2.1,M Atkinson,3.2,3.2,2.1,3.5,3.3,2.1,3.25,3.1,2.2,3.1,3.1,2.1
73,4,15,0,8,6,3,Stoke,6.0,4.0,1.57,6.0,3.6,1.57,6.15,3.65,1.5,33,17,0.0,1.81,1.93,6.32,4.43,1.17,3.78,1.55,1.9,2.06,7.0,4.75,1.19,4.14,1.6,25,2009-10-04,E0,1,1,D,6.0,3.75,1.55,11,5,0,24,17,0,0,D,1,Everton,6.5,3.9,1.5,6.5,3.6,1.57,A Marriner,6.0,3.6,1.53,6.0,3.8,1.57,5.5,3.5,1.57,5.5,3.5,1.53
74,4,9,1,10,6,2,Fulham,3.4,3.25,2.2,3.2,3.2,2.2,3.55,3.25,1.95,32,18,0.0,1.71,2.03,3.42,2.36,1.53,3.24,2.16,1.76,2.16,3.8,2.61,1.62,3.35,2.25,25,2009-10-04,E0,2,2,D,3.2,3.2,2.2,8,12,0,20,10,0,1,H,3,West Ham,3.35,3.3,2.1,3.3,3.3,2.2,P Dowd,3.4,3.25,2.0,3.3,3.25,2.2,3.4,3.2,2.1,3.2,3.2,2.0
75,6,8,0,9,7,2,Man City,2.63,3.25,2.75,2.62,3.2,2.6,2.4,3.3,2.6,31,17,0.0,1.84,1.89,2.6,1.88,1.88,3.27,2.65,1.94,1.98,2.73,1.96,1.99,3.43,2.82,23,2009-10-05,E0,1,1,D,2.6,3.25,2.6,6,10,0,12,6,0,1,H,1,Aston Villa,2.6,3.2,2.6,2.62,3.3,2.62,M Dean,2.6,3.2,2.5,2.63,3.4,2.63,2.6,3.2,2.6,2.62,3.3,2.62
76,3,16,0,3,2,2,Birmingham,19.0,7.0,1.17,17.0,7.0,1.17,15.0,6.5,1.16,33,18,0.0,2.63,1.44,17.2,11.93,1.01,6.8,1.16,2.88,1.5,23.72,14.0,1.02,8.3,1.18,31,2009-10-17,E0,1,3,H,13.0,7.0,1.17,7,8,0,20,12,1,2,H,1,Arsenal,14.0,5.5,1.2,15.0,7.0,1.17,L Probert,15.0,6.0,1.15,19.0,6.5,1.17,15.0,6.0,1.14,17.0,7.0,1.17
77,9,13,0,21,13,1,Chelsea,1.8,3.6,4.5,1.83,3.4,4.5,1.8,3.55,4.1,33,18,0.0,1.82,1.92,1.8,1.32,3.18,3.47,4.46,1.93,2.01,1.85,1.36,3.4,3.78,5.07,31,2009-10-17,E0,1,2,H,1.8,3.4,4.33,6,19,0,7,5,1,1,D,2,Aston Villa,1.85,3.4,4.0,1.8,3.5,4.5,K Friend,1.8,3.4,4.0,1.83,3.5,4.33,1.8,3.4,4.33,1.8,3.4,4.6
78,5,15,1,12,6,3,Wolves,6.5,4.2,1.44,8.0,4.0,1.44,7.65,4.2,1.4,33,18,0.0,2.01,1.73,7.58,5.4,1.12,4.11,1.44,2.1,1.83,8.25,5.98,1.14,4.46,1.5,30,2009-10-17,E0,1,1,D,8.0,4.2,1.4,6,6,0,13,5,0,0,D,1,Everton,7.0,4.0,1.45,7.0,4.0,1.5,S Attwell,7.0,4.2,1.4,7.0,4.33,1.44,7.0,3.6,1.44,8.0,4.0,1.44
79,1,8,0,15,7,1,Bolton,13.0,5.5,1.2,15.0,5.5,1.22,13.0,5.75,1.2,33,18,0.0,2.24,1.59,13.62,10.48,1.03,5.68,1.22,2.38,1.71,17.72,12.56,1.04,6.2,1.27,30,2009-10-17,E0,1,2,H,13.0,6.0,1.2,13,15,0,13,7,0,2,H,0,Man United,14.0,5.5,1.2,13.0,6.5,1.2,M Clattenburg,13.0,5.75,1.18,15.0,6.0,1.2,11.0,6.0,1.18,11.0,5.0,1.2
80,9,13,1,9,4,3,Tottenham,1.83,3.5,4.5,1.8,3.25,4.5,1.65,3.65,4.9,33,18,0.0,1.97,1.77,1.81,1.31,3.21,3.45,4.47,2.05,1.91,1.91,1.33,3.4,3.65,4.9,30,2009-10-17,E0,2,1,A,1.8,3.5,4.25,10,14,1,23,13,2,0,A,3,Portsmouth,1.8,3.4,4.3,1.8,3.5,4.5,P Dowd,1.8,3.4,4.0,1.73,3.5,5.0,1.8,3.4,4.0,1.8,3.4,4.6
81,6,13,0,12,11,3,West Ham,3.6,3.3,2.1,3.6,3.25,2.0,3.3,3.2,2.15,33,18,0.0,1.66,2.11,3.5,2.45,1.51,3.25,2.11,1.72,2.24,3.91,2.63,1.62,3.41,2.2,30,2009-10-17,E0,1,2,H,3.4,3.2,2.1,5,16,0,11,4,1,1,D,3,Stoke,3.4,3.25,2.1,3.5,3.3,2.1,M Atkinson,3.2,3.2,2.1,3.5,3.3,2.1,3.4,3.3,2.0,3.4,3.3,2.15
82,7,17,0,15,6,1,Liverpool,1.91,3.4,4.2,1.8,3.4,4.33,1.7,3.6,4.65,33,17,0.0,1.95,1.79,1.98,1.41,2.65,3.32,3.85,2.01,1.93,2.14,1.5,3.13,3.45,4.45,29,2009-10-17,E0,0,1,H,1.85,3.4,4.1,1,20,0,13,7,0,1,H,2,Sunderland,1.75,3.5,4.6,1.8,3.5,4.5,M Jones,1.73,3.5,4.2,1.8,3.5,4.5,1.8,3.4,4.0,1.8,3.4,4.6
83,2,14,0,9,5,3,Burnley,5.0,3.6,1.73,4.75,3.25,1.75,4.5,3.45,1.75,31,18,0.0,1.83,1.9,4.86,3.41,1.28,3.49,1.74,1.96,2.02,5.53,3.85,1.33,3.69,1.8,29,2009-10-18,E0,2,3,H,4.75,3.4,1.75,3,18,0,12,6,1,3,H,3,Blackburn,4.6,3.5,1.75,4.5,3.5,1.8,C Foy,4.5,3.4,1.7,4.5,3.5,1.8,4.5,3.5,1.75,5.0,3.4,1.75
84,6,11,1,5,4,1,Man City,1.73,3.6,5.0,1.73,3.25,5.0,1.65,3.6,5.0,31,18,0.0,1.87,1.86,1.72,1.28,3.41,3.54,4.88,1.98,1.95,1.84,1.33,3.75,3.75,5.5,29,2009-10-18,E0,1,1,D,1.72,3.5,4.75,6,15,0,13,7,0,1,H,2,Wigan,1.75,3.5,4.6,1.73,3.5,5.0,A Wiley,1.65,3.5,4.75,1.67,3.6,5.5,1.7,3.4,4.5,1.73,3.5,5.0
85,4,15,0,5,2,1,Hull,5.5,3.6,1.67,5.0,3.5,1.67,5.0,3.65,1.65,30,17,0.0,1.72,2.03,5.31,3.75,1.23,3.56,1.67,1.83,2.14,5.97,4.55,1.25,3.75,1.72,29,2009-10-19,E0,0,2,H,4.9,3.5,1.7,7,13,0,17,11,0,1,H,1,Fulham,4.9,3.5,1.7,5.5,3.75,1.62,A Marriner,4.75,3.5,1.65,5.5,3.6,1.67,4.5,3.4,1.67,5.5,3.75,1.62
86,8,14,0,14,6,1,Sunderland,2.5,3.25,2.9,2.5,3.2,2.8,2.3,3.3,2.9,35,21,0.0,1.69,2.08,2.51,1.81,1.99,3.24,2.77,1.75,2.25,2.63,1.88,2.09,3.35,2.96,33,2009-10-24,E0,1,2,H,2.5,3.2,2.75,6,9,0,19,13,0,1,H,3,Birmingham,2.55,3.2,2.65,2.4,3.3,2.88,M Atkinson,2.5,3.2,2.6,2.5,3.25,2.8,2.4,3.2,2.88,2.5,3.3,2.8
87,4,11,0,13,8,0,Wigan,2.88,3.3,2.5,2.9,3.25,2.4,2.95,3.15,2.35,35,21,0.0,1.83,1.92,2.88,2.06,1.75,3.24,2.43,1.93,2.01,3.02,2.12,1.84,3.38,2.58,33,2009-10-24,E0,3,1,A,2.9,3.25,2.35,7,12,0,12,9,1,1,D,2,Burnley,2.85,3.2,2.4,2.88,3.3,2.4,L Mason,2.8,3.2,2.3,3.0,3.25,2.38,2.8,3.25,2.4,2.9,3.3,2.4
88,0,10,0,5,2,1,Blackburn,15.0,6.5,1.2,19.0,6.0,1.18,12.0,6.0,1.2,35,20,-1.75,2.23,1.59,15.98,2.1,1.8,6.12,1.19,2.42,1.64,25.0,2.13,1.83,6.82,1.2,33,2009-10-24,E0,0,5,H,13.0,6.0,1.2,8,8,0,26,15,0,1,H,0,Chelsea,13.0,5.3,1.22,15.0,6.0,1.2,A Wiley,13.0,6.0,1.17,15.0,6.0,1.2,13.0,5.5,1.18,19.0,6.5,1.17
89,6,23,0,8,2,1,Portsmouth,2.8,3.2,2.6,2.88,3.2,2.5,2.7,3.25,2.5,35,21,0.0,1.77,1.98,2.8,2.0,1.8,3.23,2.5,1.86,2.12,2.9,2.08,1.9,3.4,2.67,33,2009-10-24,E0,0,0,D,2.8,3.25,2.4,6,16,0,7,3,0,0,D,2,Hull,2.85,3.2,2.4,2.88,3.4,2.38,S Attwell,2.8,3.2,2.3,2.88,3.2,2.5,2.7,3.25,2.5,2.8,3.3,2.5
90,1,18,0,8,2,3,Stoke,7.5,4.33,1.44,7.0,4.33,1.44,7.75,3.85,1.45,35,20,0.0,2.2,1.62,7.67,5.54,1.12,4.16,1.43,2.3,1.68,8.8,6.1,1.13,4.56,1.46,33,2009-10-24,E0,1,0,A,7.5,4.0,1.45,7,8,0,22,12,0,0,D,0,Tottenham,7.0,4.0,1.45,8.0,4.0,1.44,L Probert,7.5,4.0,1.4,8.0,4.1,1.44,7.0,3.75,1.44,8.0,4.0,1.44
91,3,16,0,12,8,2,Aston Villa,2.2,3.2,3.5,2.15,3.25,3.4,2.1,3.4,3.6,35,22,0.0,1.76,1.99,2.12,1.54,2.4,3.29,3.42,1.86,2.08,2.25,1.61,2.49,3.46,3.6,33,2009-10-24,E0,1,1,D,2.15,3.3,3.25,8,10,0,8,4,0,0,D,1,Wolves,2.1,3.25,3.4,2.1,3.3,3.5,P Walton,2.0,3.25,3.4,2.1,3.4,3.4,2.1,3.2,3.4,2.15,3.3,3.4
92,4,15,0,17,12,1,Everton,2.75,3.25,2.63,2.7,3.25,2.6,2.55,3.3,2.8,35,21,0.0,1.74,2.01,2.66,1.94,1.84,3.23,2.61,1.8,2.15,2.89,2.09,1.91,3.34,2.75,32,2009-10-25,E0,2,3,H,2.5,3.2,2.75,4,14,0,12,8,1,2,H,3,Bolton,2.6,3.2,2.6,2.5,3.3,2.8,P Dowd,2.4,3.2,2.7,2.6,3.25,2.7,2.5,3.2,2.5,2.5,3.3,2.8
93,1,11,1,7,5,3,Man United,2.4,3.25,3.0,2.4,3.2,2.9,2.55,3.3,2.85,35,20,0.0,1.72,2.03,2.47,1.76,2.04,3.22,2.86,1.76,2.22,2.7,1.83,2.12,3.3,3.02,33,2009-10-25,E0,0,2,H,2.5,3.2,2.75,5,20,1,11,6,0,0,D,2,Liverpool,2.5,3.2,2.7,2.5,3.3,2.8,A Marriner,2.4,3.1,2.75,2.5,3.2,2.88,2.5,3.2,2.6,2.5,3.2,2.88
94,2,12,0,11,5,2,Fulham,8.0,4.2,1.44,8.0,4.0,1.44,7.25,4.0,1.45,35,22,-1.0,1.89,1.85,7.63,1.95,1.91,4.05,1.45,1.95,1.97,8.51,2.0,1.95,4.5,1.51,32,2009-10-25,E0,2,2,D,7.5,4.0,1.45,14,11,0,20,7,0,0,D,0,Man City,7.5,4.3,1.4,8.0,4.5,1.4,K Friend,7.5,4.0,1.4,8.0,4.1,1.44,7.0,3.75,1.44,8.0,4.0,1.44
95,8,15,0,15,10,2,Arsenal,1.5,4.2,7.0,1.5,3.9,7.0,1.5,4.0,7.5,35,21,1.0,2.12,1.67,1.49,1.86,2.01,3.96,6.99,2.36,1.75,1.55,1.91,2.1,4.33,7.97,32,2009-10-25,E0,2,2,D,1.5,3.8,6.75,6,17,1,15,9,2,0,A,3,West Ham,1.45,4.0,7.0,1.5,4.0,7.0,C Foy,1.5,3.75,6.0,1.5,4.0,7.0,1.44,3.8,7.0,1.5,4.0,7.0
96,2,10,0,7,5,1,Tottenham,6.0,4.0,1.57,5.5,3.75,1.57,6.0,4.0,1.5,40,25,0.0,2.33,1.55,5.84,4.22,1.19,3.84,1.57,2.57,1.6,6.25,4.55,1.22,4.4,1.62,36,2009-10-31,E0,0,3,H,5.25,4.0,1.57,6,10,0,18,12,0,2,H,1,Arsenal,5.6,3.6,1.6,5.5,3.75,1.62,M Clattenburg,5.5,3.6,1.55,5.5,3.75,1.62,5.5,3.75,1.57,6.0,3.8,1.57
97,10,7,0,27,17,1,Chelsea,1.4,4.33,9.0,1.44,4.0,7.0,1.4,4.2,7.75,40,24,0.0,1.99,1.75,1.43,1.12,5.67,4.15,7.9,2.11,1.82,1.47,1.14,6.63,4.62,9.54,36,2009-10-31,E0,4,0,A,1.44,4.0,7.5,8,9,1,15,6,1,0,A,1,Bolton,1.45,4.0,7.0,1.44,4.0,8.0,P Walton,1.4,4.0,7.5,1.44,4.33,7.0,1.44,3.75,8.0,1.4,4.33,8.5
98,1,13,1,8,6,4,Hull,4.2,3.4,1.91,3.75,3.3,1.95,3.95,3.3,1.9,40,24,0.0,1.82,1.91,4.06,2.78,1.39,3.32,1.92,1.9,2.04,4.68,2.98,1.44,3.5,2.0,36,2009-10-31,E0,0,2,H,4.0,3.3,1.9,8,12,0,11,5,0,1,H,1,Burnley,3.9,3.3,1.9,4.33,3.5,1.83,M Jones,3.6,3.3,1.91,4.0,3.2,2.0,3.8,3.3,1.91,4.0,3.4,1.91
99,4,16,1,13,8,3,Aston Villa,2.88,3.25,2.5,2.75,3.25,2.4,2.8,3.25,2.4,40,23,0.0,1.8,1.95,2.79,2.01,1.78,3.24,2.49,1.87,2.06,2.95,2.12,1.88,3.4,2.67,36,2009-10-31,E0,1,1,D,2.75,3.2,2.5,3,15,1,9,4,0,1,H,1,Everton,2.8,3.3,2.4,2.62,3.3,2.62,L Probert,2.7,3.2,2.38,2.75,3.4,2.5,2.7,3.25,2.5,2.9,3.3,2.4
100,2,13,2,6,3,0,Liverpool,1.91,3.4,4.2,1.8,3.4,4.2,1.85,3.35,4.1,40,24,0.0,1.78,1.97,1.88,1.36,2.97,3.37,4.12,1.86,2.09,2.01,1.46,3.25,3.5,4.4,36,2009-10-31,E0,1,3,H,1.9,3.3,4.0,2,10,0,10,6,1,1,D,1,Fulham,1.9,3.3,3.9,1.83,3.5,4.33,L Mason,1.85,3.4,3.75,1.91,3.4,4.0,1.83,3.25,4.33,1.85,3.4,4.33
101,2,21,0,2,1,2,Blackburn,19.0,7.0,1.17,17.0,6.0,1.17,14.0,7.0,1.15,39,21,-2.0,2.34,1.54,16.81,1.94,1.93,6.57,1.17,2.55,1.6,23.0,2.0,1.97,7.58,1.2,36,2009-10-31,E0,0,2,H,12.0,7.0,1.17,7,10,0,20,11,0,0,D,0,Man United,15.0,6.0,1.17,15.0,7.0,1.17,P Dowd,13.0,6.5,1.15,19.0,7.0,1.15,17.0,6.0,1.17,19.0,6.5,1.17
102,4,10,0,8,3,1,Wigan,3.0,3.3,2.38,2.75,3.25,2.4,2.75,3.3,2.4,40,24,0.0,1.72,2.03,2.93,2.06,1.73,3.27,2.37,1.8,2.12,3.21,2.19,1.8,3.4,2.5,36,2009-10-31,E0,0,4,H,2.85,3.25,2.4,7,11,0,21,11,0,2,H,0,Portsmouth,2.9,3.3,2.3,2.88,3.4,2.38,A Wiley,2.8,3.25,2.3,2.88,3.4,2.4,2.8,3.25,2.4,2.9,3.3,2.38
103,3,15,0,11,7,3,Wolves,4.2,3.4,1.91,4.2,3.4,1.8,4.0,3.25,1.9,40,24,0.0,1.71,2.05,4.06,2.9,1.37,3.36,1.9,1.77,2.19,4.43,3.25,1.44,3.6,1.95,36,2009-10-31,E0,2,2,D,3.75,3.35,1.95,4,13,0,10,5,0,2,H,0,Stoke,3.7,3.4,1.9,4.33,3.5,1.83,C Foy,3.6,3.4,1.9,4.0,3.4,1.91,4.0,3.4,1.85,4.0,3.4,1.91
104,3,16,1,15,9,3,West Ham,4.0,3.3,2.0,4.2,3.4,1.8,3.8,3.4,1.9,40,24,0.0,1.84,1.9,3.91,2.74,1.41,3.33,1.95,1.94,2.02,4.2,3.0,1.46,3.41,2.09,36,2009-10-31,E0,2,2,D,3.75,3.35,1.95,7,12,1,17,7,2,1,A,3,Sunderland,3.9,3.3,1.9,4.0,3.4,1.91,A Marriner,3.5,3.4,1.91,4.0,3.4,1.91,3.75,3.4,1.91,4.0,3.3,1.95
