,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH
11,4,21,0,9,3,3,Wolves,5.25,3.6,1.73,5.0,3.4,1.73,5.0,3.4,1.65,37,23,0.0,1.68,2.12,5.2,3.67,1.25,3.51,1.69,1.76,2.26,6.06,4.07,1.28,3.82,1.75,32,2009-08-18,E0,1,0,A,5.25,3.4,1.7,4,8,0,18,5,1,0,A,0,Wigan,4.6,3.5,1.75,5.0,3.5,1.73,M Jones,4.2,3.6,1.7,5.0,3.5,1.73,5.0,3.5,1.67,5.0,3.25,1.8
12,5,20,0,9,4,5,Portsmouth,4.0,3.3,2.0,3.5,3.2,2.1,3.75,3.25,1.9,37,22,0.0,1.62,2.21,3.64,2.51,1.48,3.27,2.04,1.67,2.39,4.16,3.0,1.53,3.43,2.1,31,2009-08-19,E0,0,1,H,3.6,3.3,2.0,4,11,0,9,5,0,0,D,0,Birmingham,3.25,3.25,2.15,3.5,3.3,2.1,L Probert,3.4,3.25,2.0,3.75,3.4,2.0,3.5,3.25,2.0,3.75,3.25,2.05
13,12,12,0,18,9,1,Man United,1.33,5.0,9.5,1.33,4.75,9.0,1.3,4.5,9.0,37,22,0.0,1.98,1.77,1.32,1.06,7.79,4.78,9.79,2.1,1.91,1.37,1.08,10.0,5.12,12.0,31,2009-08-19,E0,0,1,H,1.3,4.75,10.0,1,8,0,8,2,0,1,H,2,Burnley,1.35,4.5,8.5,1.29,5.0,12.0,A Wiley,1.28,4.75,9.0,1.3,5.0,11.0,1.33,4.5,9.5,1.33,4.5,11.0
14,5,13,0,18,12,2,Tottenham,2.0,3.5,3.75,2.0,3.25,3.75,1.9,3.3,3.65,37,22,0.0,1.81,1.94,1.96,1.42,2.68,3.35,3.8,1.89,2.04,2.0,1.45,3.0,3.6,4.24,31,2009-08-19,E0,5,1,A,1.95,3.33,3.75,6,23,0,9,7,3,1,A,3,Hull,2.0,3.3,3.6,2.0,3.2,4.0,C Foy,2.0,3.25,3.4,2.0,3.4,3.75,2.0,3.25,3.4,2.0,3.2,4.0
15,5,9,0,6,3,1,Stoke,13.0,5.5,1.25,11.0,5.5,1.25,13.0,5.25,1.2,37,22,0.0,2.02,1.74,12.84,9.32,1.04,5.25,1.25,2.21,1.82,17.3,11.0,1.06,6.0,1.3,31,2009-08-19,E0,0,4,H,11.0,5.5,1.25,11,10,0,18,13,0,2,H,0,Liverpool,13.0,5.3,1.22,13.0,4.5,1.3,P Walton,11.0,5.25,1.22,12.0,5.5,1.25,11.0,4.5,1.29,15.0,5.0,1.25
16,4,10,0,9,4,0,Portsmouth,19.0,7.0,1.17,17.0,7.0,1.17,15.0,6.0,1.15,38,21,0.0,2.21,1.62,15.98,12.0,1.02,6.41,1.18,2.41,1.68,24.5,15.71,1.03,7.5,1.2,30,2009-08-22,E0,1,4,H,14.0,5.75,1.2,8,9,0,19,16,1,2,H,1,Arsenal,14.0,5.5,1.2,15.0,6.0,1.2,S Bennett,13.0,6.0,1.17,15.0,6.5,1.18,15.0,6.5,1.17,19.0,6.5,1.17
17,3,13,0,13,3,3,Stoke,3.25,3.2,2.3,3.2,3.2,2.3,3.2,3.2,2.1,38,21,0.0,1.62,2.23,3.24,2.29,1.59,3.21,2.23,1.68,2.4,3.66,2.48,1.65,3.32,2.38,30,2009-08-22,E0,0,0,D,3.1,3.25,2.25,3,8,0,8,6,0,0,D,0,Birmingham,3.2,3.2,2.2,3.25,3.25,2.25,C Foy,3.1,3.2,2.15,3.0,3.25,2.38,3.4,3.25,2.1,3.2,3.2,2.3
18,12,19,0,20,10,2,Bolton,2.8,3.25,2.6,2.88,3.2,2.5,2.85,3.1,2.35,37,21,0.0,1.73,2.04,2.84,2.0,1.75,3.22,2.46,1.83,2.15,3.0,2.12,1.88,3.4,2.68,30,2009-08-22,E0,0,1,H,2.75,3.2,2.5,4,19,0,12,5,0,0,D,3,Hull,2.95,3.25,2.3,2.8,3.25,2.5,M Jones,2.75,3.2,2.35,3.0,3.25,2.38,2.8,3.25,2.4,2.88,3.2,2.5
19,6,11,0,10,2,1,Wolves,12.0,4.5,1.33,10.0,4.5,1.36,10.5,4.85,1.25,38,21,0.0,2.12,1.68,10.25,7.65,1.06,4.73,1.32,2.25,1.77,12.17,9.5,1.09,5.5,1.37,29,2009-08-22,E0,0,1,H,10.0,4.5,1.33,5,7,0,16,11,0,1,H,0,Man City,8.5,4.5,1.35,9.0,5.0,1.33,L Mason,10.0,5.0,1.25,11.0,4.5,1.33,9.0,4.5,1.33,10.0,4.33,1.36
20,10,14,0,18,5,1,Blackburn,3.75,3.25,2.1,3.6,3.2,2.1,3.45,3.2,2.0,37,21,0.0,1.7,2.08,3.6,2.54,1.48,3.22,2.07,1.79,2.25,3.86,2.76,1.54,3.4,2.16,30,2009-08-22,E0,1,2,H,3.75,3.25,2.0,0,12,0,8,5,1,1,D,2,Sunderland,3.4,3.25,2.1,3.25,3.6,2.1,A Wiley,3.4,3.25,2.0,3.8,3.3,2.0,3.75,3.2,2.0,3.6,3.2,2.1
21,5,8,0,16,13,2,Man United,1.53,4.0,6.5,1.53,4.0,6.5,1.52,3.6,6.0,38,21,0.0,1.79,1.97,1.53,1.16,4.68,3.83,6.48,1.86,2.14,1.6,1.2,5.05,4.08,7.1,30,2009-08-22,E0,5,0,A,1.53,3.75,6.5,3,11,0,16,7,0,0,D,2,Wigan,1.6,3.6,5.6,1.5,4.0,7.0,H Webb,1.5,3.8,5.75,1.5,4.0,7.0,1.5,3.75,7.0,1.53,3.75,7.0
22,7,13,0,17,11,0,Everton,2.2,3.3,3.4,2.25,3.2,3.3,2.15,3.2,3.1,37,19,0.0,1.74,2.03,2.17,1.56,2.35,3.25,3.34,1.85,2.21,2.25,1.62,2.65,3.37,3.63,29,2009-08-23,E0,0,1,H,2.15,3.25,3.3,3,11,0,8,4,0,1,H,1,Burnley,2.3,3.2,3.0,2.3,3.2,3.2,P Dowd,2.2,3.2,3.0,2.2,3.3,3.25,2.25,3.25,3.0,2.25,3.3,3.2
23,7,10,0,12,4,0,Chelsea,1.57,3.8,6.5,1.57,3.6,6.5,1.5,3.6,6.25,37,19,0.0,1.8,1.95,1.56,1.17,4.51,3.7,6.35,1.93,2.08,1.62,1.2,5.05,4.02,7.12,29,2009-08-23,E0,2,0,A,1.55,3.6,6.5,4,11,0,4,1,1,0,A,0,Fulham,1.55,3.7,6.0,1.53,3.75,7.0,A Marriner,1.57,3.5,5.5,1.57,3.75,6.5,1.5,3.75,6.5,1.57,3.5,7.0
24,8,11,0,17,10,1,Tottenham,2.38,3.25,3.1,2.38,3.2,3.1,2.25,3.25,2.85,38,20,0.0,1.85,1.9,2.31,1.65,2.16,3.27,3.03,1.96,2.0,2.45,1.75,2.38,3.44,3.37,29,2009-08-23,E0,2,1,A,2.3,3.25,3.0,4,13,0,17,8,0,0,D,2,West Ham,2.25,3.2,3.05,2.38,3.25,3.0,M Clattenburg,2.25,3.3,2.8,2.3,3.3,3.1,2.3,3.25,3.0,2.3,3.3,3.1
25,4,11,0,7,4,2,Aston Villa,8.0,4.2,1.44,8.0,4.0,1.44,7.25,4.0,1.4,35,19,0.0,1.93,1.82,7.87,5.85,1.11,4.09,1.43,2.06,1.92,9.6,6.63,1.13,4.7,1.46,28,2009-08-24,E0,3,1,A,8.0,4.0,1.42,10,15,0,21,12,2,0,A,3,Liverpool,7.5,4.3,1.4,8.0,4.5,1.4,M Atkinson,7.0,3.75,1.45,7.5,4.33,1.44,8.0,4.0,1.4,8.0,4.0,1.44
26,2,18,0,11,5,3,West Ham,3.5,3.3,2.2,3.2,3.2,2.2,3.2,3.2,2.1,37,22,0.0,1.62,2.21,3.31,2.32,1.57,3.23,2.18,1.69,2.38,3.72,2.56,1.65,3.4,2.3,30,2009-08-29,E0,0,0,D,3.5,3.2,2.1,5,13,0,19,9,0,0,D,1,Blackburn,3.2,3.2,2.2,3.0,3.2,2.1,P Dowd,3.0,3.2,2.2,3.3,3.25,2.2,3.2,3.2,2.2,3.4,3.2,2.2
27,11,7,0,26,14,1,Liverpool,1.53,4.0,7.0,1.57,4.0,5.0,1.5,3.75,6.0,37,22,0.0,1.87,1.88,1.55,1.17,4.47,3.79,6.29,2.01,1.98,1.58,1.2,5.05,4.25,7.1,30,2009-08-29,E0,3,2,A,1.55,3.75,6.0,5,14,1,8,5,1,1,D,3,Bolton,1.55,3.7,6.0,1.57,3.5,5.0,A Wiley,1.55,3.6,5.5,1.57,3.8,6.0,1.57,3.6,6.0,1.53,3.75,7.0
28,1,5,0,3,0,1,Burnley,21.0,8.0,1.14,21.0,7.0,1.12,15.0,8.0,1.1,37,21,0.0,2.5,1.49,17.87,12.74,1.01,7.28,1.14,2.72,1.55,24.0,15.0,1.01,9.3,1.17,30,2009-08-29,E0,0,3,H,15.0,7.0,1.15,10,7,0,27,17,0,1,H,0,Chelsea,15.0,6.0,1.17,12.0,6.0,1.14,M Clattenburg,15.0,7.0,1.12,19.0,7.5,1.14,17.0,6.5,1.14,21.0,7.0,1.14
29,5,15,0,9,3,6,Arsenal,3.5,3.3,2.2,3.4,3.2,2.15,3.2,3.3,2.05,37,22,0.0,1.72,2.04,3.4,2.42,1.52,3.26,2.13,1.85,2.13,3.6,2.5,1.62,3.43,2.28,30,2009-08-29,E0,1,2,H,3.4,3.25,2.1,6,21,0,10,4,1,0,A,3,Man United,3.6,3.3,2.0,3.5,3.0,2.0,M Dean,3.2,3.2,2.1,3.6,3.25,2.1,3.4,3.2,2.1,3.5,3.2,2.15
30,10,8,0,9,6,2,Sunderland,3.2,3.25,2.38,2.88,3.2,2.38,2.8,3.2,2.3,37,22,0.0,1.6,2.24,3.01,2.13,1.67,3.21,2.34,1.67,2.4,3.24,2.25,1.74,3.3,2.48,30,2009-08-29,E0,0,1,H,3.0,3.25,2.3,10,9,0,13,7,0,1,H,0,Stoke,3.0,3.2,2.3,2.8,3.2,2.2,M Jones,2.8,3.2,2.3,3.0,3.25,2.38,3.2,3.2,2.2,3.1,3.1,2.38
31,3,10,0,11,6,2,Birmingham,9.0,4.75,1.36,10.0,4.33,1.33,8.0,4.25,1.35,37,22,0.0,2.05,1.72,9.08,6.84,1.08,4.47,1.36,2.22,1.79,11.02,7.5,1.1,5.1,1.4,30,2009-08-29,E0,1,2,H,7.5,4.6,1.38,7,12,0,20,14,0,0,D,2,Tottenham,8.5,4.5,1.35,8.0,4.0,1.33,P Walton,8.5,4.33,1.33,10.0,4.33,1.36,9.0,4.33,1.36,10.0,4.6,1.33
32,2,15,0,5,4,2,Hull,3.6,3.3,2.1,3.4,3.2,2.1,3.5,3.15,2.0,37,22,0.0,1.7,2.08,3.48,2.5,1.48,3.26,2.09,1.79,2.19,3.76,2.65,1.56,3.48,2.17,30,2009-08-29,E0,1,1,D,3.5,3.25,2.05,8,11,0,24,17,1,0,A,0,Wolves,3.2,3.2,2.2,3.0,3.2,2.1,S Attwell,3.2,3.2,2.1,3.6,3.25,2.1,3.6,3.3,2.0,3.6,3.25,2.1
33,4,9,0,6,3,2,Fulham,5.25,3.6,1.73,5.0,3.4,1.73,4.75,3.5,1.65,38,22,0.0,1.68,2.1,4.91,3.5,1.27,3.47,1.73,1.75,2.25,5.54,3.85,1.3,3.71,1.8,30,2009-08-30,E0,0,2,H,4.75,3.5,1.73,9,9,0,9,4,0,1,H,1,Aston Villa,4.45,3.45,1.77,4.0,3.4,1.73,S Bennett,4.5,3.4,1.7,5.0,3.5,1.73,5.0,3.4,1.7,5.25,3.4,1.73
34,5,24,0,12,7,5,Wigan,5.25,3.6,1.73,5.0,3.25,1.73,5.0,3.4,1.65,37,21,0.0,1.71,2.06,4.87,3.45,1.28,3.49,1.73,1.85,2.16,5.45,3.85,1.33,3.75,1.8,30,2009-08-30,E0,1,2,H,4.5,3.5,1.75,12,11,0,26,14,0,0,D,1,Everton,4.9,3.5,1.7,4.0,3.2,1.8,L Probert,4.5,3.4,1.7,5.0,3.5,1.73,4.5,3.4,1.75,5.25,3.3,1.75
